artist_name,top1_share,top3_share,top5_share,hhi,n_tracks,total_track_plays
Bob Dylan,12.16,31.28,43.85,657.1,20,98945411
Bob Marley & The Wailers,14.57,38.33,54.33,793.3,20,68270395
Bon Iver,13.41,28.92,41.25,622.6,20,173539866
Bon Jovi,20.63,51.25,65.51,1112.3,20,78448797
Brent Faiyaz,10.71,25.02,39.71,604.8,20,151707400
Bring Me the Horizon,11.4,27.36,40.79,595.0,20,132268112
Britney Spears,12.48,31.79,44.16,660.1,20,240478612
Bruce Springsteen,15.64,36.32,54.24,802.0,20,63025474
Bruno Mars,10.79,26.53,42.02,610.4,20,230701137
Bryson Tiller,22.01,45.24,61.86,1023.2,20,78337493
CORTIS,27.62,72.31,92.56,2172.3,20,19629309
