artist,listeners,chart_weeks,total_streams,best_position,log_listeners,log_chart_weeks,log_total_streams
Halsey,2774603,13.0,116152151.0,76.0,6.443200851515058,1.1139433523068367,8.065027256829158
Tory Lanez,1928385,9.0,77844851.0,116.0,6.285193744651581,0.9542425094393249,7.891229891711575
Noah Kahan,1537923,18.0,285457307.0,8.0,6.186934591959405,1.255272505103306,8.455541164348004
The Police,4539438,33.0,409102953.0,10.0,6.657002088846789,1.5185139398778875,8.611832614347986
Megan Thee Stallion,2278315,4.0,54825865.0,35.0,6.357613769481529,0.6020599913279624,7.738985492365308
Ed Sheeran,4161226,32.0,904715982.0,19.0,6.619221303365054,1.505149978319906,8.956512262288737
Jennie,1459036,29.0,846030614.0,3.0,6.164066007732015,1.462397997898956,8.9273860784654
ILLIT,1111486,6.0,84074377.0,33.0,6.045903996804656,0.7781512503836436,7.924663657830686
Lizzy McAlpine,1392107,4.0,43449120.0,45.0,6.1436726172599245,0.6020599913279624,7.637980984858004
Chase Atlantic,1824534,5.0,56112187.0,64.0,6.2611519608082595,0.6989700043360189,7.749057195873697
The Kid LAROI,2447299,27.0,426420216.0,14.0,6.388687032742584,1.4313637641589874,8.629837785814779
Young Thug,1848928,8.0,85211422.0,77.0,6.266919999416867,0.9030899869919435,7.930497812831211
aespa,1296200,4.0,59883124.0,50.0,6.1126720171171325,0.6020599913279624,7.777304448661187
Selena Gomez,3130971,22.0,351079402.0,11.0,6.495679045068751,1.3424226808222062,8.545405349943408
Tears for Fears,3907961,26.0,242253064.0,63.0,6.591950220970658,1.414973347970818,8.384269278684114
Elton John,5171397,17.0,229239231.0,24.0,6.713607879155001,1.2304489213782739,8.36028894291511
Nicki Minaj,4699361,10.0,132456965.0,7.0,6.672038808352589,1.0,8.122074799790946
Chris Brown,4721507,7.0,124229514.0,43.0,6.67408063789788,0.8450980400142568,8.094224786215914
Usher,4968505,1.0,8413514.0,188.0,6.696225731203786,0.0,6.924977421727311
Imagine Dragons,4021563,28.0,570255535.0,38.0,6.604394876554177,1.4471580313422192,8.756069509307373
Madison Beer,1638084,4.0,35269322.0,154.0,6.214336168365247,0.6020599913279624,7.54739711108544
Empire of the Sun,2984014,7.0,66675164.0,110.0,6.474800856370498,0.8450980400142568,7.823964092591496
Lil Tecca,1742450,11.0,130798200.0,23.0,6.241160324769676,1.0413926851582251,8.116601767417558
Gwen Stefani,4408955,2.0,32486495.0,63.0,6.6443356662222355,0.3010299956639812,7.511702857412325
Ellie Goulding,3907039,7.0,69961384.0,63.0,6.591847746366904,0.8450980400142568,7.844858392253433
Frank Sinatra,4885987,3.0,161744561.0,21.0,6.68895230712457,0.47712125471966244,8.208829685523721
Lil Baby,1592233,4.0,70653003.0,17.0,6.202006620694388,0.6020599913279624,7.849130625612922
Kodak Black,1780237,2.0,27215200.0,22.0,6.250477823062043,0.3010299956639812,7.43481153022308
Ravyn Lenae,1640640,12.0,206519108.0,8.0,6.215013295760305,1.0791812460476249,8.314960240568897
She & Him,1676027,3.0,54574346.0,16.0,6.224281010628721,0.47712125471966244,7.73698853997819
Prince,3263324,2.0,19131137.0,94.0,6.513660194972864,0.3010299956639812,7.281740781744604
Miguel,2647242,18.0,192680997.0,23.0,6.4227936445354255,1.255272505103306,8.284838884842305
Imogen Heap,3006148,6.0,62382258.0,72.0,6.4780103581541075,0.7781512503836436,7.795061090510774
The Goo Goo Dolls,2580946,27.0,401231401.0,12.0,6.4117789180861555,1.4313637641589874,8.60339491424712
IVE,1025917,1.0,11162721.0,72.0,6.011112226370247,0.0,7.047770070161364
Cardi B,2385192,1.0,9812988.0,138.0,6.377523344040429,0.0,6.991801267759658
Charlie Puth,2410781,15.0,165791587.0,82.0,6.382157760020168,1.1760912590556813,8.219562488746355
Sean Paul,3140189,4.0,47897234.0,55.0,6.49695578794165,0.6020599913279624,7.680310434224129
The Chainsmokers,2761881,27.0,375763769.0,62.0,6.441204962382833,1.4313637641589874,8.574914903274014
Jung Kook,1431318,36.0,942654754.0,1.0,6.155736132922912,1.5563025007672873,8.97435266210454
Shawn Mendes,2672470,1.0,7915471.0,196.0,6.426912838704919,0.0,6.8984767621061485
Björk,3420993,2.0,20858988.0,91.0,6.534152185537157,0.3010299956639812,7.319293234259395
Guns N' Roses,5142461,10.0,86446301.0,129.0,6.711171006725727,1.0,7.936746414733622
Black Sabbath,4354764,1.0,25897960.0,33.0,6.6389646240337115,0.0,7.413265555755537
ENHYPEN,1103348,1.0,10413428.0,97.0,6.042712512116538,0.0,7.017593718599308
Marvin Gaye,3711394,1.0,8436078.0,195.0,6.569537061312663,0.0,6.9261405865739665
Mariah Carey,5021918,6.0,305715700.0,1.0,6.70086961709091,0.7781512503836436,8.485317742449618
Lisa,1919588,8.0,143936991.0,14.0,6.283208026345781,0.9030899869919435,8.158172419528665
Gigi Perez,1363612,19.0,391915013.0,8.0,6.1346908144333945,1.2787536009528289,8.59319190021751
J Balvin,1805392,10.0,100854405.0,33.0,6.256571513695037,1.0,8.003694871566275
girl in red,2448299,3.0,32193042.0,82.0,6.388864455189419,0.47712125471966244,7.507762016182161
Daryl Hall & John Oates,2504835,2.0,28885710.0,75.0,6.398779123037743,0.3010299956639812,7.460683046805338
Glass Animals,2575687,19.0,192306378.0,53.0,6.410893086004573,1.2787536009528289,8.28399368821285
ZAYN,2214428,1.0,10579763.0,106.0,6.345261564182287,0.0,7.024475939065418
Rauw Alejandro,1076427,32.0,671683833.0,5.0,6.031984582629388,1.505149978319906,8.82716489523425
Bryson Tiller,1673484,4.0,49924258.0,50.0,6.223621564470952,0.6020599913279624,7.698311618882745
DJ Snake,2554391,11.0,117622213.0,35.0,6.4072873753649215,1.0413926851582251,8.070489346164873
AC/DC,4509544,7.0,80889699.0,155.0,6.654132628730263,0.8450980400142568,7.907893219358893
Fred again..,1265826,1.0,9462453.0,123.0,6.102374011816142,0.0,6.976003735372981
HUNTR/X,1114812,9.0,632882467.0,1.0,6.047201634875976,0.9542425094393249,8.801323064404798
