artist,listeners,in_chart,chart_weeks,total_streams,best_position
YoungBoy Never Broke Again,1121900,False,0.0,0.0,
Blondie,3393016,False,0.0,0.0,
The All-American Rejects,3254844,False,0.0,0.0,
Dean Blunt,914720,False,0.0,0.0,
Joey Bada$$,1734848,False,0.0,0.0,
Stevie Wonder,3920214,True,2.0,20940084.0,121.0
Electric Light Orchestra,2943981,False,0.0,0.0,
Migos,1848946,False,0.0,0.0,
Metric,2809277,False,0.0,0.0,
Rex Orange County,2024672,False,0.0,0.0,
Rae Sremmurd,1871366,False,0.0,0.0,
Franz Ferdinand,4831912,False,0.0,0.0,
Carly Rae Jepsen,2976803,False,0.0,0.0,
Marshmello,2534472,True,12.0,154875151.0,15.0
Two Door Cinema Club,3113351,False,0.0,0.0,
Bon Jovi,4208319,False,0.0,0.0,
Geese,511461,False,0.0,0.0,
The Clash,4110505,True,1.0,9002489.0,139.0
ROLE MODEL,1022930,False,0.0,0.0,
Her's,1439143,False,0.0,0.0,
Måneskin,1838916,False,0.0,0.0,
Zach Bryan,1179653,True,17.0,528536633.0,20.0
Lily Allen,3731003,False,0.0,0.0,
Alicia Keys,4167155,False,0.0,0.0,
PEDRO SAMPAIO,550013,True,4.0,39762468.0,82.0
Anitta,1189909,True,9.0,118478749.0,19.0
Snoop Dogg,4319833,False,0.0,0.0,
Summer Walker,1710382,True,1.0,9593704.0,169.0
Bon Iver,3533128,True,1.0,7804790.0,193.0
Artemas,1577748,True,12.0,291255522.0,3.0
Gucci Mane,2731189,False,0.0,0.0,
Rammstein,3087781,False,0.0,0.0,
KAYTRANADA,1544296,False,0.0,0.0,
JID,1370698,True,7.0,76806978.0,45.0
Jordana,1247480,False,0.0,0.0,
Yung Lean,1297493,False,0.0,0.0,
Current Joys,1721353,False,0.0,0.0,
P!nk,3731132,True,1.0,8696717.0,197.0
Rosé,1644666,True,17.0,613186705.0,1.0
Ty Dolla $ign,1643314,True,5.0,150724564.0,3.0
Car Seat Headrest,1354673,False,0.0,0.0,
t.A.T.u.,2200648,False,0.0,0.0,
KAROL G,1408195,True,36.0,1344986167.0,2.0
Swedish House Mafia,2682111,False,0.0,0.0,
Mindless Self Indulgence,1507768,False,0.0,0.0,
The Beach Boys,4092436,True,2.0,39690851.0,48.0
Mumford & Sons,2667238,False,0.0,0.0,
Mark Ronson,3052754,False,0.0,0.0,
Foster the People,3687798,True,1.0,9172922.0,188.0
Leon Thomas,875329,True,1.0,8903823.0,154.0
The Living Tombstone,1290289,False,0.0,0.0,
