artist_name,total_events,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,listeners
Fleetwood Mac,2,0,2,0.0,0.0,0.0,Brisbane,1,4813973
Flo Rida,9,0,9,0.0,0.0,0.0,New York,1,4123924
Fontaines D.C.,3,0,3,0.0,0.0,0.0,Leeds,1,1073062
Foo Fighters,23,2,18,10.0,0.111,21.74,Napa,3,6317453
Foster the People,2,0,2,0.0,0.0,0.0,Louisville,1,3691507
Frank Sinatra,35,1,0,100.0,,100.0,Berlin,35,4890118
Freddie Gibbs,20,2,16,11.11,0.125,20.0,Manchester,2,1280329
Future,1,0,1,0.0,0.0,0.0,Tampere,1,3175567
Geese,23,5,10,33.33,0.5,56.52,London,3,514875
Gigi Perez,30,6,16,27.27,0.375,46.67,Boston,4,1367795
Givēon,7,0,7,0.0,0.0,0.0,Düsseldorf,1,691845
Gorillaz,41,4,32,11.11,0.125,20.0,Werchter,2,6786808
Grimes,1,0,1,0.0,0.0,0.0,Belfast,1,2630673
Gunna,11,2,7,22.22,0.286,36.36,Amsterdam,2,1781716
Guns N' Roses,40,4,31,11.43,0.129,22.5,Derby,3,5148009
Gwen Stefani,2,0,2,0.0,0.0,0.0,Ocean City,1,4414827
Halsey,6,2,2,50.0,1.0,66.67,Werchter,2,2778773
Harry Styles,65,6,0,100.0,,100.0,New York,30,3207355
Hearts2Hearts,3,1,1,50.0,1.0,66.67,Los Angeles,2,330565
Hole,1,0,1,0.0,0.0,0.0,Rozelle,1,2083084
IVE,2,0,2,0.0,0.0,0.0,Singapore,1,1028525
J Balvin,4,1,2,33.33,0.5,50.0,Ciudad de México,2,1810029
J. Cole,67,17,32,34.69,0.531,52.24,London,3,3812159
JID,16,0,16,0.0,0.0,0.0,Brisbane,1,1372310
JPEGMAFIA,3,0,3,0.0,0.0,0.0,London,1,1215262
Jamiroquai,1,0,1,0.0,0.0,0.0,Sevilla,1,2857983
Jane Remover,1,0,1,0.0,0.0,0.0,Queens,1,502545
Jason Derulo,1,0,1,0.0,0.0,0.0,Bergen,1,3085020
Jeff Buckley,1,0,1,0.0,0.0,0.0,Dublin,1,3319392
Jennie,1,0,1,0.0,0.0,0.0,Queens,1,1463046
Jennifer Lopez,6,1,0,100.0,,100.0,Las Vegas,6,3743542
Joey Valence & Brae,19,1,17,5.56,0.059,10.53,Brisbane,2,965352
Joji,31,1,29,3.33,0.034,6.45,Inglewood,2,2959111
Jordana,7,0,7,0.0,0.0,0.0,Saint Louis,1,1251413
Julia Wolf,2,0,2,0.0,0.0,0.0,Birmingham,1,565581
KATSEYE,1,0,1,0.0,0.0,0.0,Queens,1,1483973
KAYTRANADA,10,1,8,11.11,0.125,20.0,Dublin,2,1546677
Kali Uchis,3,0,3,0.0,0.0,0.0,Inglewood,1,3016391
Kate Bush,4,0,4,0.0,0.0,0.0,Poole,1,3416788
Katy Perry,4,0,4,0.0,0.0,0.0,Woodstock,1,7053762
Keane,3,1,1,50.0,1.0,66.67,Dublin,2,4001825
Kehlani,1,0,1,0.0,0.0,0.0,Montreal,1,1663444
Kelly Clarkson,11,1,1,50.0,1.0,90.91,Las Vegas,10,4477981
Ken Carson,7,1,5,16.67,0.2,28.57,Amsterdam,2,1143613
Kesha,14,2,8,20.0,0.25,42.86,London,3,3093673
Khalid,25,0,25,0.0,0.0,0.0,Berkeley,1,2274505
Kid Cudi,33,0,33,0.0,0.0,0.0,Noblesville,1,4652221
Kings of Leon,14,1,12,7.69,0.083,14.29,Hollywood,2,5096747
Kodak Black,5,0,5,0.0,0.0,0.0,Brooklyn,1,1783138
Korn,2,0,2,0.0,0.0,0.0,Ciudad de México,1,3371829
Lady Gaga,14,5,2,71.43,2.5,85.71,Montreal,3,7638489
Laufey,3,0,3,0.0,0.0,0.0,Auckland,1,2274538
Lauv,25,0,25,0.0,0.0,0.0,Berkeley,1,1738318
Led Zeppelin,1,0,1,0.0,0.0,0.0,Rochester,1,4900473
Leon Thomas,38,9,17,34.62,0.529,55.26,Toronto,5,878660
Lil Wayne,3,1,0,100.0,,100.0,Napa,3,3533964
Lil Yachty,1,0,1,0.0,0.0,0.0,Eau Claire,1,1785308
Lily Allen,40,10,14,41.67,0.714,65.0,London,6,3734697
Limp Bizkit,10,2,6,25.0,0.333,40.0,Derby,2,4082973
Linkin Park,14,4,5,44.44,0.8,64.29,Derby,3,6862406
Lisa,3,0,3,0.0,0.0,0.0,Inglewood,1,1922545
Lit,9,0,9,0.0,0.0,0.0,Sacramento,1,1292030
Lola Young,5,0,5,0.0,0.0,0.0,Los Angeles,1,1154483
