artist_name,track_name,rank,playcount
beabadoobee,Tired,8,9279770
beabadoobee,Beaches,9,11829410
beabadoobee,take a bite,10,11531270
beabadoobee,Coffee,11,6455970
beabadoobee,Cologne,12,11172748
beabadoobee,Sunny day,13,6978687
beabadoobee,If You Want To,14,6134754
beabadoobee,Talk,15,9256289
beabadoobee,The Moon Song,16,4293153
beabadoobee,You’re here that’s the thing,17,6271878
beabadoobee,Lovesong,18,5685934
beabadoobee,Coming Home,19,4792401
beabadoobee,California,20,4682241
Deftones,Change (In the House of Flies),1,27320784
Deftones,My Own Summer (Shove It),2,27037463
Deftones,Be Quiet and Drive (Far Away),3,27567831
Deftones,Sextape,4,27639134
Deftones,Cherry Waves,5,22259801
Deftones,Digital Bath,6,13806010
Deftones,Mascara,7,15576028
Deftones,Around the Fur,8,10055586
Deftones,Rosemary,9,13482032
Deftones,Passenger,10,8817478
Deftones,Please Please Please Let Me Get What I Want - 2005 Remaster,11,15425913
Deftones,Entombed,12,11639073
